Question,Answer,Rating
Should I continue to invest in an S&P 500 index fund?,"I would argue that it makes sense to sell some of your holdings as you have seen the S&P 600 (the ""S&P 5.000"") drop a little this year. This is not because of the performance of the stocks, but because of the way that many companies are performing.  This could be a good time to sell your holdings.", 
"File bankruptcy, consolidate, or other options?","You are not a failure.  In fact, the bankruptcy system has a lot of benefits, including: If you are really struggling and feel that your finances are in crisis and you need a fresh start, I strongly suggest that you consult a professional, a licensed attorney, and a good financial advisor.  They are here to help you, and are willing to listen to you and to advise you.", 
How do you translate a per year salary into a part-time per hour job?,"You should take a look at the W4 form. If you don't know what you are doing, talk to an HR advisor. I was recently asked this question and it was answered by an HR adviser.", 
Quote driven and order driven financial markets,"I would not say that the quote driven markets are necessarily driven by the price of the underlying asset. I would say that the price of the stock is a factor, but that the price of any asset can be a factor as well.  The most recent price movement for a company is typically a good indicator of what is happening.  I've read a few articles about the price of oil and its relationship to the price of a company.", 
"If the U.S. defaults on its debt, what will happen to my bank money? ","I would expect that if they have defaulted, they are going to start charging more fees and possibly canceling your card.  The only other scenario you can expect is that you might have to close your credit card account.", 
What happens to people without any retirement savings?,"The bank will try to sell you a loan and they can. They're just trying to make a profit. You can request a loan from a bank or a credit union, they are a private business and they can't be trusted to make you whole.", 
How can a person with really bad credit history rent decent housing?,"The best advice I can offer is to make sure your credit is in order.  If you can, get a credit card with a 0% introductory rate.  That way you don't end up with a huge balance and being late on payments, or you get a chargeback on a card that you already used to purchase something. If you don't have a credit card, you can still get approved for a loan through your bank or a credit union.  If you're in a bad neighborhood, you might be able to get a loan through a credit union or a mortgage company.  I don't know about you, but I've never tried that. If you have a job, you can also try to make it a little easier on yourself.  If you don' t have a job, try to get a job.  I've found that working as a part-time security guard is enough to get you on your way to home ownership.  You'll have a job, and a place to stay, and a job to keep you from getting into trouble.", 
Who can truly afford luxury cars?,"I have been very fortunate to have had cars that cost less than $10k a year for 15 years, and have had them for 11 years.  The cost is not the luxury, it is the time commitment.  I can get a decent used luxury car for $35k (or $50k if it is a 4 year old) that can last me a decade.  Even with the extra $5k you could have a decent luxury car for a few years.", 
Should I invest or repay my debts?,"You can have both. You are young. There is no reason you should be investing. You are not getting any more money, and you have no debts to pay. If you don't have debts, you should just save, put your money into your retirement account, put the rest into the stock market, and invest.", 
TFSA over-contributions: How would the penalty apply in this scenario?,"I believe that your account should have been revised by the institution and your employer, and your TFSA is covered under the rules.  The TFSA will have a lower limit, since the account is now insured.", 
"For very high-net worth individuals, does it make sense to not have insurance?",The other answer mentions the insurance premium is just the tip of the iceberg. I'd like to add a few other factors to the mix:, 
Dividend yeild per unit,"I don't think dividends are really a significant factor.  The only thing I can think of is that companies can offer more dividend incentives when they issue stock.  For instance, I recently had my stock option vested and they offered me a dividend of $1.10 per share.  That's a nice dividend.  But it was still $1.15 less than the $2.50 that I got in my brokerage account.", 
Why might a robo-advisor service like Betterment be preferable to just buying a single well-performing index fund like SPY?,The one-size-fits-most approach.  I would argue that Betterment is just a market maker for the stocks they sell.  It does not really have the same level of service as buying individual stocks directly.  I don't know if Betterment is actually better than the S&P 500 index.  I've been using it for my 401k for a couple of years., 
How would I use Google Finance to find financial data about LinkedIn & its stock?,"I have a feeling that it's worth noting that the 10 year graph above is a direct copy of the 10-Q filing. The 10-K is the 10K, so there are lots of numbers there.", 
Difference between full and mini futures contract,"I think it's more a marketing strategy. The difference between futures and options is a matter of semantics. If I am not mistaken, the term ""futures contract"" has nothing to do with contracting the futures, it has to do with contracts. So if you are a trader you should always contract the futures contract. If you are an individual, you probably do not need to contract it.", 
"Can saving/investing 15% of your income starting age 25, likely make you a millionaire?",Yes. That's what Warren Buffet did in the late 1990s and 2000s. He was not alone. Investing 100% of your income for 15 years would earn you a millionaire., 
"If I'm cash-flow negative, should I dollar-cost-average the money from my bonus over the entire year?","Yes, you should dollar-cost average. You are saving money now, and you want to have it continue as you move through the next year. Dollar-cost averaging is a good idea when you are still young. If you don't have a retirement account that you can put money into, you can always have some of your money put in there.", 
